2009-2010 Award Year FFEL Volume by School,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
"Award Year Cumulative Activity through Quarter ending 09/30/2009

",,,,,,,,,,,,,,,,,,,,,,,,
Data Run: 4/5/2012,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FFEL SUBSIDIZED,,,,,FFEL UNSUBSIDIZED,,,,,FFEL PARENT PLUS,,,,,FFEL GRAD PLUS,,,,
OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements
00102600,MARION MILITARY INSTITUTE,AL,367563214,PUBLIC,126,129,367434,136,193790,154,167,555651,170,287135,11,11,62327,12,37342,0,0,0,0,0
00102900,UNIVERSITY OF MOBILE,AL,366630220,PRIVATE,883,883,4153866,897,2117791,964,964,5483159,991,2804070,71,73,624226,76,320080,1,1,16236,1,8118
00103100,NORTHEAST ALABAMA COMMUNITY COLLEGE,AL,359860159,PUBLIC,305,307,907719,307,461224,81,81,221426,81,110717,0,0,0,0,0,0,0,0,0,0
00103300,OAKWOOD UNIVERSITY,AL,358960001,PRIVATE,440,444,2044384,446,1052221,306,308,1942779,309,1008530,58,59,775105,60,420982,0,0,0,0,0
00103600,SAMFORD UNIVERSITY,AL,352297000,PRIVATE,1689,1712,10865654,1712,5663095,1791,1855,17239110,1855,8797985,435,445,6360638,446,3251935,558,593,10394943,595,5252933
00104000,SOUTHERN UNION STATE COMMUNITY COLLEGE,AL,362760000,PUBLIC,631,635,1877068,772,1051910,462,466,1271079,568,699645,12,12,64100,13,34150,0,0,0,0,0
00104100,SPRING HILL COLLEGE,AL,366081791,PRIVATE,638,641,2918506,641,1384521,739,776,3378632,776,1563012,85,85,867454,85,451303,0,0,0,0,0
00104400,STILLMAN COLLEGE,AL,354031430,PRIVATE,345,352,1448239,352,727519,345,375,1539969,376,775072,111,114,935640,115,476950,0,0,0,0,0
00104700,TROY UNIVERSITY,AL,360820001,PUBLIC,11870,12000,60501982,12000,24070162,11434,11842,81872914,11845,31949741,158,159,1264392,159,639458,14,14,129956,14,49315
00105000,TUSKEGEE UNIVERSITY,AL,360881645,PRIVATE,1563,1584,7728091,1587,3903789,1457,1884,12010608,1887,6022581,321,366,4552828,366,2280710,58,62,672069,62,338330
00105700,UNIVERSITY OF SOUTH ALABAMA,AL,366880002,PUBLIC,4931,4998,23608974,5000,12131965,5726,5982,36951491,5982,18852971,326,331,2785505,331,1427954,76,77,604139,77,245301
00106000,JAMES H. FAULKNER STATE COMMUNITY COLLEGE,AL,365072698,PUBLIC,730,731,2231679,735,1125076,515,522,1922705,526,973939,19,19,94021,19,47011,0,0,0,0,0
00569700,NORTHWEST - SHOALS COMMUNITY COLLEGE,AL,356623206,PUBLIC,650,650,2072119,695,1080163,502,507,1455570,547,743903,0,0,0,0,0,0,0,0,0,0
00787100,GEORGE C. WALLACE STATE COMMUNITY COLLEGE,AL,350772000,PUBLIC,1608,1611,5549555,1611,2789976,1248,1249,4367153,1249,2191044,10,10,56760,10,28380,0,0,0,0,0
